-10.5,-0.21529,-10.5,8.4889e-11
-9,-0.42116,-9,2.1772e-09
-7.5,-0.69805,-7.5,5.5842e-08
-6,0.94582,-6,1.4322e-06
-4.5,-0.3311,-4.5,3.6734e-05
-3,0.81435,-3,0.00094214
-1.5,0.63923,-1.5,0.024141
0,-0.73379,0,0.60078
1.5,8.4869,1.5,7.9482
3,10.595,3,12.502
4.5,9.7412,4.5,10.454
6,9.3684,6,8.4907
7.5,8.3435,7.5,6.8893
9,6.847,9,5.5898
10.5,5.8415,10.5,4.5354
12,4.6536,12,3.6799
13.5,4.6169,13.5,2.9858
15,2.0959,15,2.4226
16.5,1.8281,16.5,1.9656
18,0.98178,18,1.5948
19.5,0.081366,19.5,1.294
21,0.074156,21,1.0499
22.5,0.053243,22.5,0.85187
24,-1.3108,24,0.69118
25.5,-1.2225,25.5,0.56081
27,-2.6749,27,0.45502
28.5,-2.1932,28.5,0.36919
30,-3.0491,30,0.29955
