-10.5,-0.30327,-10.5,0
-9,-0.29653,-9,0
-7.5,0.082204,-7.5,0
-6,0.35478,-6,0
-4.5,0.097158,-4.5,0
-3,0.074793,-3,0
-1.5,0.10008,-1.5,0
0,-0.10921,0,0
1.5,0.035331,1.5,0.25447
3,0.36712,3,0.47923
4.5,0.53945,4.5,0.67775
6,0.86419,6,0.85309
7.5,0.86861,7.5,1.008
9,1.0829,9,1.1447
10.5,1.0478,10.5,1.2656
12,1.3223,12,1.3723
13.5,1.7839,13.5,1.4665
15,2.0889,15,1.5498
16.5,1.9788,16.5,1.6233
18,1.4279,18,1.6883
19.5,1.5947,19.5,1.7456
21,1.6859,21,1.7963
22.5,1.9246,22.5,1.841
24,1.8296,24,1.8806
25.5,1.9324,25.5,1.9155
27,1.99,27,1.9463
28.5,1.8196,28.5,1.9735
30,1.9479,30,1.9976
